product code,product model,unit price
MC32085,MoneyCounterA3,780
S6I1543,SoftwareEncryption15,690
L8N0649,LaptopA9,7357
P02C741,PaperCutter64,100
W1473B8,WaterHeater57,290
D1G4290,Digitizer39,271
EZ12538,ElectricFanU8,980
W1473B8,WaterHeater71,520
V56301I,VideoCaptureCard04,470
S03485W,SoundCard93,10
T7E2913,TollMachineH9,880
CG63821,ComputerTerminal43,360
C48967S,ChargerF5,31
GC81302,GasWaterHeaterF8,540
B239N58,BuildingIntercom75,710
C91D367,Camera95,386
M6328D7,Mouse94,62
AE80564,AirPurifierO6,990
R2I4560,RealEstateW0,70
P9L0284,Program-ControlledSwitchS6,610
M9J6453,Mp437,223
C02614Q,Cpu38,940
T0E9518,TesterO7,124
R54810N,RepeaterB1,105
FC40169,FunctionServerE7,720
C7826A5,ComputerRemoteControlN5,230
E738Y40,ElectricToothbrush21,310
NY39107,NotebookFilmY0,960
W920W86,WirelessSecurityS4,190
P8130N9,PrinterY4,406
H7143H9,HotPot14,590
P9L0284,Program-ControlledSwitchB0,410
SB01298,ScannerO9,252
H18Z450,HardDiskExtractionBox95,410
G071O86,GameMachineWire80,860
A4A8763,AttendanceMachineW1,720
D265U39,DyeSublimationPrinterA3,840
E2L5374,ElectricKettleR3,350
C3752Y9,CameraBattery26,716
S40897X,ServerMotherboardQ7,826
O36987R,OperatingSystemH9,30
C37A594,CameraBag51,718
K62879Z,KeyboardAndMouseSet73,192
T1749L0,TransceiverU0,275
SL87069,SetTopBoxI0,470
R04W892,Ribbon48,31
L903I17,LensCapN9,221
R04W892,Ribbon17,34
P09Y825,PocketPcV3,530
E8T2037,ElectricHeaterE3,270
R6713Q9,Razor72,25
R81O564,RadioYogurtMaker82,310
MM72065,MultiplexerL3,406
V5W8496,VacuumCleaner75,160
W05C734,WaterDispenserY1,420
C2056I7,Cabinet97,492
P41857Y,PhysicalSecurityIsolationD9,120
C681E75,CellPhoneBattery21,710
D7Y5182,DestroyEquipmentM9,350
M421X86,MultifunctionalT4,524
M0467E1,MobilePhoneFilm18,740
C634K72,CashRegisterY2,900
T540P67,TelephoneConference05,81
S956G17,SlrHandleU6,160
N74Y235,NetworkExtenderB5,510
P4052D1,PhotoBoxU2,450
C186H47,ConnectingLine54,150
T95761U,TabletBase04,677
G21467A,GpsI3,389
O36987R,OperatingSystemY5,600
D230D47,Dishwasher18,830
BE04182,BindingMachine56,10
M6328D7,Mouse12,58
R243J08,RemoteControlL3,490
M62870K,MassagerU3,156
EU82057,ElectricBakingPanC6,850
FK39705,FlatFilm91,380
TS64823,TwistedPairW0,530
EZ12538,ElectricFanS3,30
S8465W1,SolarWaterHeaters80,40
UL87156,UpsPowerShredder92,770
CF29758,Cd-RomBox81,66
T739U65,TapeDrivesG3,184
K7458M2,KeyboardS0,56
L92148E,LargeFormatPrinter95,420
F1L0847,FootBathEyeProtectionLampG9,390
V6Q9754,VoiceRecording52,560
D68950Z,DigitalFrame12,820
SL87069,SetTopBox78,400
EU82057,ElectricBakingPanN2,780
D230D47,Dishwasher20,953
F76983D,FlashAccessories02,124
T1239W5,TabletBagG4,389
C2F0671,Cd95,38
MR92570,MicrophoneDigitalCompanionX4,960
H089L35,HoodP6,90
A094G67,AccessController53,660
SY73215,SteeringWheel93,130
A35J746,AirConditioner27,830
E8T2037,ElectricHeater39,490
T5382D6,Tape53,134
P20O395,PedometerC2,45
EE05684,ElectricIronD7,650
S2180L4,SerialCommunicationServer74,980
C02614Q,Cpu60,875
P3650F7,PrecisionAirConditionerI6,340
L92148E,LargeFormatPrinterT5,870
L903I17,LensCap93,372
T1R9247,TvWall19,350
F8E7125,FaxMachineCopierV8,110
L29837Y,LaserPointersAndPresentersD7,520
G053V91,GameLightGunGamePeripheral93,150
R6K1395,Ram93,193
D0Q2543,DesktopPc48,270
D56294N,DvrE9,459
M79W815,MobilePhoneCarAccessories90,390
A392R56,AntivirusSoftware09,150
NY39107,NotebookFilmZ1,640
CF29758,Cd-RomBox87,83
S6I1543,SoftwareEncryptionP5,600
A08264O,AntivirusAndEmailFiltering05,870
YS95071,YubaE3,411
SK73928,SurveillanceCaptureCard79,550
RC12709,ReceiptPrinter06,630
GC81302,GasWaterHeaterS7,800
V0147T3,VideoDistributorZ5,1000
F1L0847,FootBathEyeProtectionLamp74,10
S8465W1,SolarWaterHeaters26,220
P02C741,PaperCutterI4,420
MR92570,MicrophoneDigitalCompanionF7,680
C45R631,Codec76,141
D0W8356,DigitalMobileTv28,530
W9718W3,WorkstationQ9,2552
F8E7125,FaxMachineCopierY2,710
D230D47,Dishwasher49,1270
E6N2308,ElectronicDictionary86,590
P1275R8,PrintServerX4,120
L85R920,LoadBalancingY7,140
V0W6342,VideoServerX4,1000
W05C734,WaterDispenserI8,760
UL87156,UpsPowerShredderT4,530
C48967S,ChargerU3,41
P41857Y,PhysicalSecurityIsolation35,990
D51962U,DehumidifierG3,277
DT47956,DvdPlayer78,350
A37260X,Anti-TheftAlarmHostN4,880
G80142H,GameConsoleBattery25,170
F24170J,FruitAndVegetableWashingMachineF9,360
DB83217,DisinfectionCabinetQ3,990
I072X68,IndustrialNetworkSwitchR2,320
H18Z450,HardDiskExtractionBox93,840
D56294N,DvrL0,186
T739U65,TapeDrivesH2,135
D51962U,Dehumidifier97,182
C186H47,ConnectingLine92,580
A37260X,Anti-TheftAlarmHost50,500
M0467E1,MobilePhoneFilmZ7,860
M9J6453,Mp405,276
M0467E1,MobilePhoneFilm78,500
L7P4035,LaptopDesk45,4591
R2I4560,RealEstateL1,100
S40897X,ServerMotherboardY0,798
C2056I7,CabinetZ4,287
I41V392,InkCartridgeX2,770
IQ87164,InkjetPrintersS4,520
I36Z941,ImageAlarmM3,310
PY35974,PrintMediaP9,470
A08264O,AntivirusAndEmailFiltering47,220
M85D039,MonitorH7,326
DD18704,DigitalAccessoriesL9,270
M5809H7,MotherboardA2,337
SR61908,SaasSoftwareZ5,330
M320L69,MotherboardChipsetY5,373
A273M51,Anti-SlipMobilePhoneP4,900
S0912X5,ServerO3,1012
S7843Q5,ServerMemoryA4,1133
S2501J4,ServerHardDriveJ1,912
T9508D4,TrafficManagement93,50
T95761U,TabletBaseW5,640
D8150P6,DotMatrixPrinterV1,230
FK39705,FlatFilm07,610
T7E2913,TollMachine89,150
K62879Z,KeyboardAndMouseSet74,181
B239N58,BuildingIntercomO1,770
YS95071,YubaR4,251
T0X9417,Telephone67,156
P3650F7,PrecisionAirConditionerK9,180
S93N807,SpeakerAccessoriesG0,56
S86042Z,SecurityCameraY2,400
B56K283,Blu-RayPlayerG1,180
WJ50817,WirelessAccessPointR1,650
F9135R4,Freezer65,1220
U198C32,UDiskY8,190
SE17564,ServerBarebonesH4,1045
E7R6098,E-Book87,127
P1D2567,PhoneVoiceCardC4,780
M79W815,MobilePhoneCarAccessoriesR1,640
U198C32,UDisk10,530
S2501J4,ServerHardDrive65,680
E4280M5,EpilatorA8,61
F9135R4,FreezerP7,555
S7K6834,ScreenSplitterN4,340
SW03642,SoyMilkMachineF7,670
P9L0284,Program-ControlledSwitchZ8,530
E895N12,Earphone49,62
TT21465,TranslationSoftwareU0,880
N89L425,NetworkCardC7,930
C37A594,CameraBagX6,210
F6L2495,FlashCardG3,140
B56K283,Blu-RayPlayerD5,950
N62Z458,NotebookAccessoriesA4,280
EE05684,ElectricIronD4,320
S7K6834,ScreenSplitter58,950
M713N46,MicroscopeU0,1443
C634K72,CashRegister06,740
C78629B,CdPrintRecorder57,18
FJ71643,Filter19,28
JS30927,JuicerJ9,229
V5W8496,VacuumCleaner07,760
B56K283,Blu-RayPlayer63,420
A35J746,AirConditioner85,570
C02614Q,Cpu37,752
R796N84,RangeHoodO1,810
C2B7139,CentralControlSystem74,630
PY35974,PrintMediaY8,450
H8713D4,HardDiskRecording82,260
B830R57,BarcodeAndCardReadingEquipment34,790
GS13927,GamePackL5,970
C3752Y9,CameraBatteryO2,361
A50L172,Air-ConditioningFan51,530
C97014N,CableJ6,104
F9135R4,Freezer85,1024
G21467A,GpsE3,485
N74Y235,NetworkExtenderL1,830
T035M47,TabletQ7,508
WJ50817,WirelessAccessPointZ1,580
M2348K0,MobileHardDisk72,820
P6398B4,PressureCookerP8,680
S7K6834,ScreenSplitterX5,330
C58G293,CameraFilmO0,499
S2180L4,SerialCommunicationServerN8,180
FJ71643,Filter91,86
F24170J,FruitAndVegetableWashingMachineU6,470
V0W6342,VideoServer94,560
WM85971,WirelessRouter47,570
C46258Y,CleaningAndMaintenanceD0,940
M62870K,Massager82,145
P7604Q5,Pbx97,1381
IQ87164,InkjetPrintersW0,780
S7K6834,ScreenSplitterA3,190
I41V392,InkCartridgeC4,330
A37260X,Anti-TheftAlarmHostW0,680
L0528N6,LaminatorMoDriveH2,770
G9372K0,GameChargerG5,250
DR28405,DatabaseSoftwareT5,720
S7843Q5,ServerMemory84,1445
R81O564,RadioYogurtMaker75,890
L85R920,LoadBalancing61,190
TI26891,TeachingSoftwareO3,90
B8E1796,BinocularsJ1,386
S8104Z6,Speaker31,128
MR46392,MobilePhoneJ2,440
P6398B4,PressureCookerS7,400
S92348F,ServerAccessoriesO3,1381
N62Z458,NotebookAccessoriesA6,790
YS95071,Yuba80,219
M421X86,Multifunctional48,321
C95F078,CasetteLibraryI1,460
SL87069,SetTopBoxV1,440
I357B21,InternetBehaviorManagementG2,250
S5291W4,ServerPowerV7,1468
N13J804,NotebookCase03,390
B239N58,BuildingIntercom04,900
TT21465,TranslationSoftware97,290
M320L69,MotherboardChipsetK8,469
M2589S0,Mp3A1,55
TT21465,TranslationSoftware03,560
C48967S,Charger07,71
P20O395,PedometerT4,26
NY39107,NotebookFilm95,120
T035M47,Tablet90,267
R81O564,RadioYogurtMaker92,90
PY35974,PrintMediaL2,770
R243J08,RemoteControlI4,710
CO19853,Cd-Rom02,61
HW53167,HomeTheater30,140
R796N84,RangeHoodI8,70
O8C6513,OfficeSoftwareD7,170
H7Y6824,Hand-HeldGamingDeviceL3,930
M8I1749,MonocularC0,203
A59027Z,AidedDesign81,90
T0829X7,TonerCartridge96,45
T35X601,ToiletSeatU4,310
H089L35,HoodB4,60
W49310P,WirelessNetworkCardK0,260
O9F4205,OfficeEquipmentAccessories10,20
L504L71,LaptopPowerAdapterD3,2983
A08264O,AntivirusAndEmailFiltering80,920
H7143H9,HotPot92,190
I8206B5,InductionCooker21,260
M9P8604,MobilePhoneStylusX9,790
C02614Q,Cpu68,423
C45R631,Codec97,395
L8930C4,LaptopDisplay24,2544
D1G4290,Digitizer29,324
WC49732,WirelessHdC8,970
C21057Z,CuttingPlotterD4,30
O8C6513,OfficeSoftwareS9,170
C37A594,CameraBagA2,922
I291Q38,IsbnPrinterA3,240
P4052D1,PhotoBoxP3,120
A59027Z,AidedDesignV1,850
GC81302,GasWaterHeaterF4,780
M421X86,Multifunctional39,893
S7Z8134,ServerChassis71,666
DE13695,DisplayChipB4,270
F24170J,FruitAndVegetableWashingMachineX1,440
R04W892,RibbonS0,61
G9372K0,GameChargerZ3,850
A273M51,Anti-SlipMobilePhone15,380
A35J746,AirConditionerF9,90
C3752Y9,CameraBattery09,704
G21467A,Gps21,178
T7E2913,TollMachineJ1,90
HD86793,HumidifierY1,134
E4280M5,EpilatorW2,101
A50L172,Air-ConditioningFan81,510
S2501J4,ServerHardDrive17,1414
TS64823,TwistedPairU0,830
C1F0953,ComputerFingerprintEncryptionLock83,570
C6C1543,ColorManagementX0,780
D7Y5182,DestroyEquipment06,320
C04R672,ConverterE1,500
M421X86,MultifunctionalF7,618
SL87069,SetTopBoxW7,660
N13J804,NotebookCaseF3,900
C95F078,CasetteLibraryD5,520
EU82057,ElectricBakingPan74,950
I8206B5,InductionCookerE7,870
N13J804,NotebookCaseZ1,550
M4329T8,Multimedia49,134
P09Y825,PocketPcE0,240
T9508D4,TrafficManagementF4,480
O9F4205,OfficeEquipmentAccessories73,470
S40897X,ServerMotherboard86,543
HI14706,HotelEntertainment63,90
IY01329,InductionDetector38,480
HW53167,HomeTheater94,250
C2698S3,ConsoleA3,282
C741G20,CardReaderL3,690
D51962U,DehumidifierT0,270
C6C1349,CoffeeMachine86,950
EZ12538,ElectricFanE2,820
C63081N,CdDuplicator58,16
E9G8372,ExhaustFanD8,20
L85R920,LoadBalancingD6,450
A59027Z,AidedDesign24,60
C367T20,CommunicationSoftware13,350
B830R57,BarcodeAndCardReadingEquipment20,300
SL87069,SetTopBoxD3,370
G80142H,GameConsoleBattery50,830
MG73026,MobilePhoneCompanionI6,620
C91D367,Camera35,766
L504L71,LaptopPowerAdapter37,6214
A58192Z,AccessControlMachineA8,980
A59027Z,AidedDesign96,300
YS95071,Yuba48,401
M0467E1,MobilePhoneFilmH3,220
T035M47,TabletD9,966
R5F0782,Router48,257
S5291W4,ServerPowerO3,665
L92148E,LargeFormatPrinterW0,680
P09Y825,PocketPc24,380
F9N8470,FocusingScreenR8,770
C46258Y,CleaningAndMaintenance12,740
H239M48,HardDisk51,300
M421X86,Multifunctional31,454
G70Z416,GraphicsCardC0,290
C95F078,CasetteLibrary26,920
N13J804,NotebookCase47,70
V0147T3,VideoDistributorR8,50
D7903R1,DiskArray34,630
F76983D,FlashAccessories41,195
H64578X,HeatSink24,400
CO19853,Cd-Rom67,55
FK39705,FlatFilmT9,930
E7R6098,E-BookF8,164
F40365I,FiberOpticCableT6,740
A4158M9,AccessControlSystem78,840
M6328D7,MouseG8,49
DT47956,DvdPlayer89,400
ME59832,MouseFootStickerK1,43
T9T8140,ToasterElectricOven64,630
I36Z941,ImageAlarm54,310
R04W892,RibbonD5,74
A273M51,Anti-SlipMobilePhone26,770
M328K91,MonitorU9,431
M5809H7,MotherboardZ4,251
D51962U,DehumidifierP0,411
F4K6753,FirewallX5,408
D1G4290,DigitizerX4,358
OP18549,OpticalTransceiver40,370
T28310Y,TvHanger86,250
L15649H,LinePrinter31,240
A59027Z,AidedDesign56,180
FK39705,FlatFilm27,430
A392R56,AntivirusSoftwareP9,630
FK39705,FlatFilm23,90
C2056I7,CabinetZ3,238
BP82450,BillingSystem06,370
L85R920,LoadBalancingY3,90
C7G8396,CellphoneDataLine14,540
A794O23,AdapterRing49,160
P7604Q5,Pbx05,1256
DR28405,DatabaseSoftwareO6,450
R7248S9,RecordingPenM2,560
ER04531,ElectricFencF6,270
U198C32,UDiskJ7,830
C2056I7,Cabinet07,138
C634K72,CashRegister62,390
K62879Z,KeyboardAndMouseSet90,185
W318D96,Walkie-Talkie31,426
I41V392,InkCartridgeO9,20
H7143H9,HotPotJ2,310
MM72065,MultiplexerL4,263
S2180L4,SerialCommunicationServerE9,150
F9N8470,FocusingScreenP9,410
AA85346,All-In-OnePrintingMachine57,440
I436H05,InternetLivingRoomFitnessW4,570
V968Q15,VideoGameControllerZ5,550
A273M51,Anti-SlipMobilePhone87,690
M2348K0,MobileHardDisk42,110
MR46392,MobilePhone56,410
T75D268,TripodF5,188
M4Y8765,MultimediaSoftwareA8,145
B830R57,BarcodeAndCardReadingEquipment27,800
N62Z458,NotebookAccessories20,520
V6Q9754,VoiceRecording38,310
R243J08,RemoteControlJ8,200
FC40169,FunctionServerO8,440
T35X601,ToiletSeatO7,630
PY35974,PrintMedia70,30
M5809H7,MotherboardP7,454
H7Y6824,Hand-HeldGamingDeviceN2,470
M108M47,Micro-WaveOvenJ2,250
L17546O,LaptopDockingStationQ9,3778
A50L172,Air-ConditioningFan21,600
L0528N6,LaminatorMoDriveP4,700
M97X845,MobilePowerO4,290
T9T8140,ToasterElectricOvenX4,480
S86042Z,SecurityCameraS5,160
H64578X,HeatSink10,800
L29837Y,LaserPointersAndPresentersE8,430
C78629B,CdPrintRecorder59,21
P4052D1,PhotoBox56,910
S2180L4,SerialCommunicationServerP5,800
R5F0782,Router92,228
P4052D1,PhotoBox60,300
R54810N,Repeater97,123
F24170J,FruitAndVegetableWashingMachineL2,490
D7903R1,DiskArray57,380
S15H647,SurveillanceAroundN5,150
T38951Z,TabletCase05,564
N89L425,NetworkCardZ5,920
W05C734,WaterDispenserO9,690
P7604Q5,Pbx69,946
IZ80719,IntranetSecurityNetworkVulnerabilityScanningP0,160
V6Q9754,VoiceRecordingL5,430
D0Q2543,DesktopPcZ6,920
I79Y023,InfraredAdapterS3,820
B830R57,BarcodeAndCardReadingEquipment70,630
FG91426,FiberEquipment38,310
C7826A5,ComputerRemoteControlG0,790
M79W815,MobilePhoneCarAccessoriesW6,60
CC50327,CentralWaterHeater34,840
SK73928,SurveillanceCaptureCardD5,640
L891S65,LcdTv45,630
P3650F7,PrecisionAirConditioner90,350
G58A216,GasStoves79,210
T540P67,TelephoneConferenceI1,87
B189A57,BluetoothAdapterP2,170
C98142A,CameraRemoteO4,400
C2F0671,Cd49,35
P4052D1,PhotoBox94,10
